OBJECTID,RNFL_DATE,WMRS_DAM_DLY_RNF_MM,WMRS_DAM_NMBR_DLY_RNF_MM,STNB_DAM_DLY_RNF_MM,STNB_DAM_NMBR_DLY_RNF_MM,VLVL_DAM_DLY_RNF_MM,VLVL_DAM_NMBR_DLY_RNF_MM,THWT_KLF_DAM_DLY_RNF_MM,THWT_KLF_DAM_NMBR_DLY_RNF_MM,WDHD_DAM_DLY_RNF_MM,WDHD_DAM_NMBR_DLY_RNF_MM,DE_VLRS_HS_DAM_DLY_RNF_MM,DE_VLRS_HS_DAM_NMBR_DLY_RNF_MM,NWLN_DAM_DLY_RNF_MM,NWLN_DAM_NMBR_DLY_RNF_MM,WYNB_DAM_DLY_RNF_MM,WYNB_DAM_NMBR_DLY_RNF_MM,CNST_NEK_DAM_DLY_RNF_MM,CNST_NEK_DAM_NMBR_DLY_RNF_MM,PLTK_DAM_DLY_RNF_MM,PLTK_DAM_NMBR_DLY_RNF_MM,BLCK_UPR_WTP_DAM_DLY_RNF_MM,BLCK_UPR_WTP_DAM_NMB_DLY_RNF_MM,BLCK_LWR_DAM_DLY_RNF_MM,BLCK_LWR_DAM_NMBR_DLY_RNF_MM,GLEN_GRY_DAM_DLY_RNF_MM,GLEN_GRY_DAM_NMBR_DLY_RNF_MM,TYGR_DAM_DLY_RNF_MM,TYGR_DAM_NMBR_DLY_RNF_MM,FR_DAM_DLY_RNF_MM,FR_DAM_NMBR_DLY_RNF_MM,BRKL_DAM_DLY_RNF_MM,BRKL_DAM_NMBR_DLY_RNF_MM,ATLN_WSFL_DAM_DLY_RNF_MM,ATLN_WSFL_DAM_NMBR_DLY_RNF_MM,MLTN_DAM_DLY_RNF_MM,MLTN_DAM_NMBR_DLY_RNF_MM,KLF_NEK_DAM_DLY_RNF_MM,KLF_NEK_DAM_NMBR_DLY_RNF_MM,BRGR_DAM_DLY_RNF_MM,BRGR_DAM_NMB_DLY_RNF_MM,NWLN_DAM_DLY_EVP_MM,NWLN_DAM_NMBR_DLY_EVP_MM,STNB_DAM_DLY_EVP_MM,STNB_DAM_NMBR_DLY_EVP_MM,WMRS_DAM_DLY_EVP_MM,WMRS_DAM_NMBR_DLY_EVP_MM,BRKL_DAM_DLY_EVP_MM,BRKL_DAM_NMBR_DLY_EVP_MM,WDHD_DAM_DLY_EVP_MM,WDHD_DAM_NMBR_DLY_EVP_MM,MLTN_DAM_DLY_EVP_MM,MLTN_DAM_NMBR_DLY_EVP_MM,STNB_2_DAM_DLY_RNF_MM,STNB_2_DAM_NMBR_DLY_RNF_MM,STNB_3_DAM_DLY_RNF_MM,STNB_3_DAM_NMBR_DLY_RNF_MM,STNB_CTCH_4_DLY_RNF_MM,STNB_CTCH_4_NMBR_DLY_RNF_MM,WMRS_2_STH_DAM_DLY_RNF_MM,WMRS_2_STH_DAM_NMBR_DLY_RNF_MM,WMRS_3_NRTH_DAM_DLY_RNF_MM,WMRS_3_NRTH_DAM_NMBR_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_NMBR_DLY_RNF,WMRS_5_NEW_NRTH_DAM_DLY_RNF_MM,WMRS_5_NEW_NRTH_DAM_NMBR_DLY_RN,HS_DAM,TNL_DAM,MLS_DAM,WVL_DAM,SPRN_DAM,KTCH_DAM,WKPJ_DAM,CNEK_DISA_DAM,DAM_DAY,DAM_MNTH,DAM_YEAR,WMRS_HOEK_1_DAM_DLY_RNF,STNB_1_DAM_DLY_RNF,VLVL_DAM_DLY_RNF,THWT_DAM_DLY_RNF,WDHD_DAM_DLY_RNF,DE_VLRS_DAM_DLY_RNF,NWLN_DAM_DLY_RNF,WYNB_DAM_DLY_RNF,CNST_DAM_DLY_RNF,PLTK_DAM_DLY_RNF,BLCK_UPR_DAM_DLY_RNF,BLCK_LWR_DAM_DLY_RNF,GLNG_DAM_DLY_RNF,TYGR_DAM_DLY_RNF,FR_DAM_DLY_RNF,BRKL_DAM_DLY_RNF,ATLN_DAM_DLY_RNF,MLTN_DAM_DLY_RNF,KLFN_DAM_DLY_RNF,BRGR_DAM_DLY_RNF
1,2000/01/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,,,1.5,23,,,,,,,8,23,,,4,23,0,23,,,,,,,,,,23,8,23,,23,,23,,,,,,,,,1,1,2000,,,,,,,,,,,,,,,,,,,,
2,2000/01/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,8,,,,,,4.5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,2,1,2000,,,,,,,,,,,,,,,,,,,,
3,2000/01/03 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,12,,8,,,,,,,,,,,,8.5,,,,,,,,,,,,,,3,1,2000,,,,,,,,,,,,,,,,,,,,
4,2000/01/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,8.5,,,,,,,,,,,,8,,,,,,,,,,,,,,4,1,2000,,,,,,,,,,,,,,,,,,,,
5,2000/01/05 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,11,,8.5,,,,,,,,,,,,9,,,,,,,,,,,,,,5,1,2000,,,,,,,,,,,,,,,,,,,,
6,2000/01/06 00:00:00+00,,,6.5,,,,,,10.5,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,9,,6.5,,,,,,,,,,,,6,,,,,,,,,,,,,,6,1,2000,,,,,,,,,,,,,,,,,,,,
7,2000/01/07 00:00:00+00,1.5,,,,,,,,,,,,10.5,,,,,,1.4,,1,,1,,0.7,,,,2,,,,,,6.5,,,,,,,,7,,,,10,,0,,,,,,,,,,1.5,,6.5,,,,,,,,,,,,,,7,1,2000,,,,,,,,,,,,,,,,,,,,
8,2000/01/08 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,1,,5.5,,,,,,,,,,,,7,,,,,,,,,,,,,,8,1,2000,,,,,,,,,,,,,,,,,,,,
9,2000/01/09 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,9,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,9,1,2000,,,,,,,,,,,,,,,,,,,,
10,2000/01/10 00:00:00+00,,,12,,,,,,14.5,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,7,,4.5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,10,1,2000,,,,,,,,,,,,,,,,,,,,
11,2000/01/11 00:00:00+00,5,,,,,,,,,,,,8.5,,,,,,4.9,,2.8,,5,,2.6,,3,,7,,,,,,2.5,,,,,,,,5,,,,6,,3.5,,,,,,,,,,5,,4.5,,,,,,,,,,,,,,11,1,2000,,,,,,,,,,,,,,,,,,,,
12,2000/01/12 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,9,,,,2,,2.5,,,,,,,,,,,,4.5,,,,,,,,,,,,,,12,1,2000,,,,,,,,,,,,,,,,,,,,
13,2000/01/13 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6,,5,,,,,,,,,,,,10,,,,,,,,,,,,,,13,1,2000,,,,,,,,,,,,,,,,,,,,
14,2000/01/14 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10,,6,,,,,,,,,,,,12,,,,,,,,,,,,,,14,1,2000,,,,,,,,,,,,,,,,,,,,
15,2000/01/15 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,9,,6,,,,,,,,,,,,11.5,,,,,,,,,,,,,,15,1,2000,,,,,,,,,,,,,,,,,,,,
16,2000/01/16 00:00:00+00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,8,,8,,,,,,,,,,,,9.5,,,,,,,,,,,,,,16,1,2000,,,,,,,,,,,,,,,,,,,,
